Address,Temperature,RSSI,Date,Time,Num of devices
0x0002,25,-61,2021-08-23,00:35:12.970851,1
0x0002,25,-61,2021-08-23,00:35:16.422954,2
0x0002,25,-60,2021-08-23,00:35:19.424557,2
0x0002,25,-60,2021-08-23,00:35:22.423932,2
0x0002,25,-60,2021-08-23,00:35:25.422689,2
0x0002,25,-60,2021-08-23,00:35:28.423270,2
0x0002,25,-60,2021-08-23,00:35:31.423039,2
0x0002,25,-57,2021-08-23,00:35:34.423913,2
0x0002,25,-57,2021-08-23,00:35:37.423765,2
0x0002,25,-57,2021-08-23,00:35:40.422081,2
0x0002,25,-57,2021-08-23,00:35:43.424292,2
0x0002,25,-56,2021-08-23,00:35:46.423569,2
0x0002,25,-56,2021-08-23,00:35:49.422838,2
0x0002,25,-60,2021-08-23,00:35:52.422391,2
0x0002,25,-56,2021-08-23,00:35:55.422776,2
0x0002,25,-59,2021-08-23,00:35:58.422016,2
0x0002,25,-57,2021-08-23,00:36:01.423631,2
0x0002,25,-57,2021-08-23,00:36:04.423547,2
0x0002,25,-59,2021-08-23,00:36:07.421925,2
0x0002,25,-57,2021-08-23,00:36:10.424382,2
0x0002,25,-59,2021-08-23,00:36:13.423802,2
0x0002,25,-56,2021-08-23,00:36:16.422656,2
0x0002,25,-57,2021-08-23,00:36:19.421637,2
0x0002,25,-58,2021-08-23,00:36:22.422978,2
0x0002,25,-59,2021-08-23,00:36:25.422422,2
0x0002,25,-59,2021-08-23,00:36:28.424061,2
0x0002,25,-59,2021-08-23,00:36:31.423168,2
0x0002,25,-57,2021-08-23,00:36:34.422669,2
0x0002,25,-60,2021-08-23,00:36:37.424144,2
0x0002,25,-58,2021-08-23,00:36:40.423065,2
0x0002,25,-58,2021-08-23,00:36:43.423122,2
0x0002,25,-58,2021-08-23,00:36:46.422916,2
0x0002,25,-59,2021-08-23,00:36:49.423406,2
0x0002,25,-58,2021-08-23,00:36:52.425502,2
0x0002,25,-58,2021-08-23,00:36:55.424670,2
0x0002,25,-58,2021-08-23,00:36:58.424039,2
0x0002,25,-60,2021-08-23,00:37:01.423049,2
0x0002,25,-57,2021-08-23,00:37:04.424992,2
0x0002,25,-58,2021-08-23,00:37:07.423848,2
0x0002,25,-56,2021-08-23,00:37:10.424818,2
0x0002,25,-57,2021-08-23,00:37:13.423468,2
0x0002,25,-57,2021-08-23,00:37:16.424697,2
0x0002,25,-57,2021-08-23,00:37:19.424087,2
0x0002,27,-56,2021-08-23,00:37:22.424616,2
0x0002,25,-59,2021-08-23,00:37:25.425019,2
0x0002,27,-56,2021-08-23,00:37:28.423311,2
0x0002,25,-56,2021-08-23,00:37:31.425792,2
0x0002,25,-57,2021-08-23,00:37:34.424978,2
0x0002,25,-58,2021-08-23,00:37:37.424328,2
0x0002,25,-58,2021-08-23,00:37:40.424077,2
0x0002,25,-57,2021-08-23,00:37:43.425775,2
0x0002,25,-57,2021-08-23,00:37:46.425143,2
0x0002,25,-57,2021-08-23,00:37:49.426385,2
0x0002,27,-57,2021-08-23,00:37:52.425934,2
0x0002,27,-58,2021-08-23,00:37:55.425238,2
0x0002,27,-57,2021-08-23,00:37:58.427110,2
0x0002,27,-57,2021-08-23,00:38:01.426314,2
0x0002,27,-57,2021-08-23,00:38:04.424994,2
0x0002,27,-57,2021-08-23,00:38:07.426884,2
0x0002,25,-57,2021-08-23,00:38:10.427793,2
0x0002,27,-58,2021-08-23,00:38:13.425894,2
0x0002,25,-59,2021-08-23,00:38:16.427879,2
0x0002,27,-59,2021-08-23,00:38:19.427949,2
0x0002,25,-56,2021-08-23,00:38:22.426356,2
0x0002,27,-57,2021-08-23,00:38:25.428671,2
0x0002,27,-57,2021-08-23,00:38:28.427789,2
0x0002,27,-58,2021-08-23,00:38:31.427511,2
0x0002,27,-58,2021-08-23,00:38:34.428580,2
0x0002,27,-58,2021-08-23,00:38:37.429258,2
0x0002,27,-57,2021-08-23,00:38:40.429140,2
0x0002,25,-58,2021-08-23,00:38:43.430584,2
0x0002,27,-57,2021-08-23,00:38:46.430067,2
0x0002,27,-57,2021-08-23,00:38:49.429656,2
0x0002,27,-57,2021-08-23,00:38:52.431737,2
0x0002,27,-57,2021-08-23,00:38:55.430145,2
0x0002,27,-57,2021-08-23,00:38:58.430331,2
0x0002,27,-58,2021-08-23,00:39:01.431783,2
0x0002,27,-57,2021-08-23,00:39:04.430819,2
0x0002,27,-58,2021-08-23,00:39:07.431491,2
0x0002,27,-57,2021-08-23,00:39:10.432471,2
0x0002,27,-57,2021-08-23,00:39:13.434484,2
0x0002,27,-57,2021-08-23,00:39:16.432316,2
0x0002,27,-57,2021-08-23,00:39:19.434282,2
0x0002,27,-58,2021-08-23,00:39:22.433151,2
0x0002,27,-57,2021-08-23,00:39:25.431997,2
0x0002,27,-55,2021-08-23,00:39:28.434189,2
0x0002,27,-54,2021-08-23,00:39:31.433023,2
0x0002,27,-56,2021-08-23,00:39:34.434031,2
0x0002,27,-56,2021-08-23,00:39:37.435378,2
0x0002,27,-56,2021-08-23,00:39:40.435227,2
0x0002,27,-57,2021-08-23,00:39:43.435040,2
0x0002,27,-57,2021-08-23,00:39:46.436899,2
0x0002,27,-57,2021-08-23,00:39:49.436332,2
0x0002,27,-57,2021-08-23,00:39:52.435359,2
0x0002,27,-56,2021-08-23,00:39:55.437047,2
0x0002,27,-57,2021-08-23,00:39:58.437259,2
0x0002,27,-57,2021-08-23,00:40:01.438358,2
0x0002,27,-55,2021-08-23,00:40:04.439217,2
0x0002,27,-55,2021-08-23,00:40:07.439263,2
